invoice_no,product_id,quantity,unit_price,customer_id,country
536365,22752,2,7.65,17850.0,United Kingdom
536367,22622,2,9.95,13047.0,United Kingdom
536367,21754,3,5.95,13047.0,United Kingdom
536367,21755,3,5.95,13047.0,United Kingdom
536367,21777,4,7.95,13047.0,United Kingdom
536367,48187,4,7.95,13047.0,United Kingdom
536369,21756,3,5.95,13047.0,United Kingdom
536370,POST,3,18.0,12583.0,France
536373,82486,4,6.95,17850.0,United Kingdom
536373,22752,2,7.65,17850.0,United Kingdom
536374,21258,32,10.95,15100.0,United Kingdom
536375,82486,4,6.95,17850.0,United Kingdom
536375,22752,2,7.65,17850.0,United Kingdom
536381,15056BL,2,5.95,15311.0,United Kingdom
536381,15056N,2,5.95,15311.0,United Kingdom
536381,21523,10,6.75,15311.0,United Kingdom
536382,22926,12,5.95,16098.0,United Kingdom
536382,22839,2,14.95,16098.0,United Kingdom
536382,22838,2,14.95,16098.0,United Kingdom
536382,22783,4,16.95,16098.0,United Kingdom
536384,82484,3,6.45,18074.0,United Kingdom
536384,21340,2,12.75,18074.0,United Kingdom
536384,22427,3,5.95,18074.0,United Kingdom
536384,22428,6,6.95,18074.0,United Kingdom
536384,22424,8,10.95,18074.0,United Kingdom
536385,22783,1,19.95,17420.0,United Kingdom
536385,22168,2,8.5,17420.0,United Kingdom
536388,21754,3,5.95,16250.0,United Kingdom
536388,21755,3,5.95,16250.0,United Kingdom
536388,21523,2,7.95,16250.0,United Kingdom
536388,21115,4,6.75,16250.0,United Kingdom
536389,22941,6,8.5,12431.0,Australia
536389,35004C,6,5.45,12431.0,Australia
536389,35004G,4,6.35,12431.0,Australia
536389,85014B,6,5.95,12431.0,Australia
536389,85014A,3,5.95,12431.0,Australia
536389,22193,2,8.5,12431.0,Australia
536389,22192,2,8.5,12431.0,Australia
536389,22191,2,8.5,12431.0,Australia
536390,22941,2,8.5,17511.0,United Kingdom
536390,22968,8,8.5,17511.0,United Kingdom
536392,22827,1,165.0,13705.0,United Kingdom
536392,22502,4,5.95,13705.0,United Kingdom
536393,22180,8,9.95,13747.0,United Kingdom
536396,82486,4,6.95,17850.0,United Kingdom
536396,22752,2,7.65,17850.0,United Kingdom
536396,22803,2,35.75,17850.0,United Kingdom
536398,22468,4,6.75,13448.0,United Kingdom
536398,22752,6,8.5,13448.0,United Kingdom
536398,48185,2,7.95,13448.0,United Kingdom
536401,22767,2,9.95,15862.0,United Kingdom
536401,22768,1,9.95,15862.0,United Kingdom
536401,21463,1,5.95,15862.0,United Kingdom
536401,48129,1,7.95,15862.0,United Kingdom
536401,84709B,1,5.95,15862.0,United Kingdom
536401,82483,1,5.95,15862.0,United Kingdom
536401,20749,1,7.95,15862.0,United Kingdom
536401,22848,1,16.95,15862.0,United Kingdom
536401,47570B,1,10.65,15862.0,United Kingdom
536401,22428,2,6.95,15862.0,United Kingdom
536401,22502,2,5.95,15862.0,United Kingdom
536403,POST,1,15.0,12791.0,Netherlands
536406,82486,4,6.95,17850.0,United Kingdom
536406,22752,2,7.65,17850.0,United Kingdom
536406,22803,2,35.75,17850.0,United Kingdom
536408,20685,2,7.95,14307.0,United Kingdom
536408,48194,2,7.95,14307.0,United Kingdom
536408,21754,3,5.95,14307.0,United Kingdom
