invoice_no,transaction_value,unique_products
536365,15.3,1
536367,119.2,5
536369,17.85,1
536370,54.0,1
536373,43.1,2
536374,350.4,1
536375,43.1,2
536381,91.3,3
536382,199.0,4
536384,192.0,5
536385,36.95,2
536388,78.6,4
536389,213.65,8
536390,85.0,2
536392,188.8,2
536393,79.6,1
536396,114.6,3
536398,93.9,3
536401,117.0,11
536403,15.0,1
536406,114.6,3
536408,103.2,6
536409,71.45,6
536412,74.75,4
536415,56.95,3
536416,79.6,2
536425,39.8,2
536446,19.9,1
536460,75.4,5
536464,7.95,1
536477,175.2,1
536488,27.95,3
536500,71.4,2
536502,25.5,1
536514,51.0,1
536520,35.4,4
536522,49.05,6
536523,25.4,2
536525,111.95,3
536526,119.0,3
536527,18.0,1
536528,102.35,6
536529,83.55,4
536530,71.0,7
536531,424.7,9
536532,56.4,2
536533,77.7,3
536535,86.4,5
536537,81.3,3
536538,40.85,4
536539,158.6,9
536540,268.8,8
536551,8.5,1
536556,42.75,3
536557,134.15,12
536559,67.5,1
536560,389.6,5
536562,126.0,7
536563,8.5,1
536564,39.8,1
536569,196.4,17
536570,29.9,1
536571,41.3,3
536572,159.75,5
536574,17.85,1
536582,39.8,2
536585,19.9,1
536586,239.2,2
536587,17.0,1
536588,7.95,1
536590,67.45,5
536591,54.14,6
536593,31.8,2
536595,53.55,3
536597,9.95,1
536599,215.8,3
536600,100.7,3
536602,15.3,1
536605,49.2,3
536607,117.15,7
536609,43.1,2
536612,13.9,1
536613,9.95,1
536615,136.8,6
536617,142.8,1
536621,102.0,1
536623,154.9,5
536624,79.5,4
536627,202.2,10
536628,29.2,2
536630,43.1,2
536632,20.9,2
536633,48.95,2
536634,20.25,1
536635,115.1,3
536637,67.6,5
536638,106.15,6
536639,77.45,5
536643,27.85,2
536667,70.9,2
536672,47.7,1
536674,30.6,4
536676,129.8,4
536681,38.25,1
536685,129.9,3
536690,129.9,3
536698,33.75,2
536707,126.15,9
536732,25.5,1
536733,49.05,1
536738,52.7,4
536739,166.35,10
536740,9.95,1
536742,32.35,4
536743,121.85,8
536744,155.05,4
536745,127.2,2
536746,108.45,6
536748,90.8,3
536749,158.6,10
536750,129.9,3
536752,129.9,3
536759,145.95,8
536761,25.85,2
536762,35.7,2
536769,65.3,2
536778,27.8,2
536779,15.0,1
536782,164.65,6
536783,1611.9,4
536784,888.3,3
536785,1576.8,1
536787,15.3,1
536790,165.65,3
536796,99.4,6
536798,123.5,4
536800,17.85,1
536802,99.9,3
536804,636.1,8
536808,77.4,5
536811,527.85,1
536819,51.85,3
536821,27.8,2
536823,17.85,1
536832,45.4,2
536833,136.1,8
536835,295.0,1
536836,122.6,8
536837,92.4,5
536839,107.25,2
536840,44.95,3
536841,111.7,5
536842,89.2,3
536843,19.9,1
536844,15.9,1
536845,41.3,5
536846,200.3,19
536851,514.5,4
536852,18.0,1
536856,193.75,9
536857,29.9,2
536858,95.9,2
536859,41.7,3
536860,17.0,2
536861,183.2,3
536863,27.85,2
536874,37.1,4
536884,39.75,3
536938,262.8,1
536945,79.1,7
536946,206.7,4
536947,171.15,6
536956,72.45,3
536957,231.3,2
536960,16.35,1
536967,18.0,1
536970,1314.0,1
536971,34.0,1
536972,196.8,10
536973,229.95,6
536974,174.9,6
536975,709.65,16
536977,19.9,1
536980,175.2,1
536981,33.8,4
536983,75.8,3
536984,114.05,6
536985,285.8,8
536987,103.15,9
536988,75.6,5
536989,38.75,5
536990,28.0,1
536993,24.4,3
536994,68.5,2
537022,67.9,2
537023,38.8,4
537026,55.9,2
537034,21.9,1
537036,39.8,5
537038,302.25,5
537040,525.6,1
537041,14.45,2
537042,104.6,13
537044,99.3,3
537045,17.9,2
537046,221.8,6
537047,98.1,1
537049,36.9,2
537051,88.1,7
537052,175.2,1
537053,23.8,2
537055,91.25,4
537057,40.8,3
537058,34.0,2
537059,34.0,1
537065,711.85,13
537067,13.9,2
537077,46.95,3
537081,214.2,3
537111,19.9,2
537126,141.85,11
537128,48.85,3
537129,25.85,2
537130,34.55,4
537131,25.8,2
537133,37.7,4
537135,99.9,7
537136,115.6,2
537137,15.9,1
537138,13.5,1
537139,12.75,1
537140,7.95,1
537141,85.0,8
537142,8.5,1
537144,49.55,4
537153,82.8,2
537154,108.8,5
537156,82.4,3
537159,139.4,8
537160,67.65,3
537176,38.7,2
537179,79.5,1
537192,45.35,5
537193,46.75,3
537195,199.8,7
537196,102.4,11
537197,127.7,6
537198,85.5,2
537199,7.95,1
537201,260.0,6
537202,49.7,5
537207,147.4,9
537208,81.35,6
537209,67.35,6
537210,8.5,1
537211,17.0,1
537212,106.0,3
537215,232.5,2
537216,150.2,4
537217,167.2,4
537219,117.0,8
537221,8.5,1
537222,28.65,3
537223,40.75,2
537224,327.45,15
537225,152.85,11
537226,22.88,2
537227,69.7,4
537231,58.8,4
537233,114.2,3
537235,1326.0,1
537236,166.05,5
537238,39.7,3
537239,88.15,5
537242,31.8,2
537246,28.0,1
537248,12.75,1
537250,18.0,1
537254,41.35,4
537256,67.5,1
537257,44.5,3
537262,167.35,15
537265,63.15,5
537298,65.7,3
537301,17.0,1
537312,17.0,1
537313,72.9,2
537332,101.5,4
537334,189.15,13
537335,40.3,3
537346,159.3,6
537350,39.8,1
537351,31.35,4
537359,11.9,1
537362,57.4,6
537365,77.95,3
537368,133.5,4
537369,31.8,1
537370,80.85,6
537371,27.8,3
537372,79.5,5
537374,69.55,6
537375,38.35,3
537378,343.3,5
537381,44.8,2
537382,13.5,2
537385,51.0,1
537386,20.85,1
537387,77.4,5
537389,42.65,4
537390,31.8,1
537391,109.15,5
537393,209.5,5
537396,213.55,9
537399,125.5,8
537400,28.0,3
537404,24.9,2
537405,160.95,13
537407,167.2,4
537409,62.9,2
537415,131.7,4
537418,24.4,3
537420,80.75,5
537421,55.25,2
537422,16.3,2
537428,201.65,8
537433,98.1,1
537435,83.5,3
537440,56.3,4
537441,146.2,7
537446,187.96,7
537447,23.8,1
537448,39.6,1
537457,226.2,3
537459,31.8,1
537463,162.7,5
537464,47.7,3
537468,107.55,2
537470,65.95,2
537471,17.85,1
537484,557.1,9
537523,33.4,2
537538,116.3,3
537567,32.35,4
537594,303.1,6
537595,28.9,2
537598,54.0,2
537599,19.9,1
537601,23.85,2
537604,535.15,9
537605,51.0,1
537606,43.65,3
537607,17.0,1
537608,68.4,7
537609,138.0,2
537614,11.9,1
537615,127.2,4
537616,15.9,1
537617,17.0,1
537618,1146.0,3
537622,41.65,4
537623,108.35,7
537624,65.0,7
537626,68.64,2
537628,54.3,3
537629,85.55,4
537634,47.7,2
